Anno,Regione,Comune,Localita,Codice stazione,Bacino idrografico,Corpo idrico,Livello di contaminazione,Campioni,Misure,n misure positive,Sostanze cercate,Sostanze trovate,Pesticidi totali,x,y
2020,Lombardia,Gussago,,N008060008372LO1,MELLA- Laorna (Torrente) - Gandovere (Torrente),dal confine Her alla immissione nella Roggia Mandolossa,Superiore ai limiti,4,476,12,110,4,0.965,1129355.61952555,5709075.17983898
2020,Lombardia,Zinasco,In corrispondenza del ponte della S.P.30,N0080962IR1,Po- Terdoppio (Torrente),da Alagna fino alla immissione in Po,Entro i limiti,7,813,25,108,4,1.133,1004837.74179991,5640659.32612487
2020,Lombardia,Somaglia,Gargatano,N00814IR1,Po- Po (Fiume),dal Lambro a Isola Serafini,Superiore ai limiti,6,709,34,110,2,0.861,1072602.42643603,5641942.80947476
2020,Lombardia,Roncoferraro,,FTMOCA1IR1,FISSERO-TARTARO- Molinella (Canale),da inizio corso a confluenza  nel canale Fissero Canalbianco,Superiore ai limiti,5,591,29,110,4,1.45,1226712.28385462,5640638.21389641
2020,Lombardia,Barzana,,N00800100623A1LO1,BREMBO- Lesina (Torrente),dalla sorgente alla confluenza del Borgogna,Entro i limiti,4,228,7,57,1,0.732,1065525.20778276,5738336.94763362
2020,Lombardia,Bonate Sopra,,N00800100623A2LO1,BREMBO- Lesina (Torrente),dal Borgogna alla immissione in Brembo,Superiore ai limiti,2,114,4,57,2,0.29,1064485.27392325,5728802.98241781
2020,Lombardia,Lainate ,fraz.Barbaiana,N00804400201102LO1,OLONA-LAMBRO MERIDIONALE- Bozzente (Torrente),da Antiga Comasco a immissione in Olona,Superiore ai limiti,4,472,35,109,8,21.522,1004166.14388172,5708581.41930892
2020,Lombardia,Pizzighettone,a valle del ponte ferroviario,N00800113LO1,ADDA SUBLACUALE- Adda (Fiume),dal Serio alla immissione in Po,Entro i limiti,7,822,15,109,2,0.42,1088853.25496451,5650155.12534804
2020,Lombardia,Lomagna ,a monte del depuratore di Lomagna,N00800119101011LO1,ADDA SUBLACUALE- Molgoretta (Torrente),dalla sorgente alla depuratore di Lomagna,Entro i limiti,5,325,13,56,1,0.476,1042825.49362956,5727624.44078152
2020,Lombardia,Cappella Cantone,,POAD3SMSTCLO1,ADDA SUBLACUALE- Stanga Marchesa (Roggia),Roggia Stanga Marchesa,Entro i limiti,3,354,8,109,2,0.27,1095229.92241122,5658297.41636642
2020,Lombardia,Palosco,,N008060003A1LO1,OGLIO SUBLACUALE- Rillo (Torrente),dalla sorgente a immissione in Oglio,Superiore ai limiti,3,354,14,109,2,1.19,1095959.24038856,5714385.74309592
2020,Lombardia,Briosco,Via Molera-loc. Fornaci,N0080440311LO1,LAMBRO- Bevera (Rio),dalla sorgente alla immissione nel Lambro,Superiore ai limiti,4,473,13,110,2,3.226,1028506.26043893,5736075.31369176
2020,Lombardia,Filago,Cascina Bruciata,N008001006422LO1,BREMBO- Dordo (Torrente),dal Gargello alla immissione in Brembo,Superiore ai limiti,6,594,18,109,4,8.66,1063205.39395587,5721429.66897265
2020,Lombardia,Milano,via Idro,POLSSEMACA1LO1,LAMBRO- Naviglio Martesana (Canale),NAVIGLIO MARTESANA,Entro i limiti,4,260,4,56,1,0.096,1030163.04757187,5702356.01861027
2020,Lombardia,Valbrembo,,N008001006222LO1,BREMBO- Quisa (Torrente),dal Rino alla immissione in Brembo,Superiore ai limiti,5,285,5,57,1,0.28,1069201.36514144,5734391.61445113
2020,Lombardia,Crema,,POAD3SEMOCLO1,SERIO- Molinara (Roggia),Molinara (Roggia),Superiore ai limiti,2,236,12,109,6,2.18,1079445.51757897,5680172.20923176
2020,Lombardia,Cividate al Piano,,POOG3SACA1LO2,OGLIO SUBLACUALE - Sale (Roggia),,Non quantificabile,3,348,0,107,0,,1094077.40785229,5708849.30173389
2020,Lombardia,Chiari,,POOG3TTCA1LO1,OGLIO SUBLACUALE- Trenzana (Roggia),Trenzana (Roggia),Non quantificabile,2,236,0,109,0,,1103069.02914485,5704551.50865194
2020,Lombardia,Corte de' Frati,,POOG3MGCICA1LO2,OGLIO SUBLACUALE- Ciria (Cavo),Ciria (Cavo),Non quantificabile,4,465,1,108,0,0.02,1125396.39718637,5654331.01254142
2020,Lombardia,Palazzago,,N008001006421LO1,BREMBO- Dordo (Torrente),dalla sorgente alla confluenza del Gargello,Non quantificabile,4,220,1,55,0,0.051,1062006.96958349,5736466.76539597
2020,Lombardia,Crespiatica, ponte SS235,N0080011931LO1,ADDA SUBLACUALE- Tormo (Roggia),dalla sorgente alla immissione in Adda,Non quantificabile,4,348,11,107,0,0.116,1064458.11049604,5675476.83103993
