Comune,Livello di contaminazione,count
gavardo/villanova,Non quantificabile,1
gavirate,Entro i limiti,1
gavirate,Superiore ai limiti,1
gazzo veronese,Superiore ai limiti,1
gazzuolo,Superiore ai limiti,2
gela,Entro i limiti,1
genga,Non quantificabile,1
genivolta,Entro i limiti,1
genzano di lucania,Entro i limiti,1
genzano di lucania,Non quantificabile,2
gera lario,Non quantificabile,1
germignaga,Entro i limiti,1
gerre de' caprioli,Superiore ai limiti,1
ghedi,Entro i limiti,1
giacciano con baruchella,Entro i limiti,2
giarratana,Non quantificabile,1
ginosa,Superiore ai limiti,1
giungano(sa),Non quantificabile,1
goito,Entro i limiti,1
goito,Superiore ai limiti,1
gorgo al monticano,Entro i limiti,1
gorizia,Non quantificabile,1
gottolengo,Superiore ai limiti,1
grado,Non quantificabile,10
grandola ed uniti,Non quantificabile,1
gravellona toce,Superiore ai limiti,2
gravina in puglia,Entro i limiti,1
gravina in puglia,Superiore ai limiti,1
grazzanise(ce),Superiore ai limiti,1
gressan,Non quantificabile,1
gropparello,Non quantificabile,1
grosio,Non quantificabile,1
grosseto,Superiore ai limiti,1
grottaminarda(av),Superiore ai limiti,1
grottammare,Non quantificabile,1
grumento nova,Entro i limiti,2
grumento nova,Non quantificabile,1
gualtieri,Entro i limiti,1
gualtieri,Superiore ai limiti,1
guardea,Superiore ai limiti,1
guazzora,Non quantificabile,1
gubbio,Entro i limiti,1
gubbio,Superiore ai limiti,1
gussago,Superiore ai limiti,1
gussola,Superiore ai limiti,1
hône,Non quantificabile,1
imola,Non quantificabile,1
imola,Superiore ai limiti,1
irsina,Non quantificabile,2
ischia di castro,Non quantificabile,2
ischitella,Entro i limiti,1
isola d'asti,Entro i limiti,1
isola del gran sasso d'italia,Non quantificabile,2
isola della scala,Entro i limiti,2
isola dovarese,Superiore ai limiti,1
isola rizza,Superiore ai limiti,1
isola sant'antonio,Superiore ai limiti,1
ispra,Superiore ai limiti,1
issiglio,Superiore ai limiti,1
issogne,Non quantificabile,1
jesolo,Entro i limiti,1
jesolo,Superiore ai limiti,1
la salle,Non quantificabile,1
lacedonia(av),Non quantificabile,2
laces,Non quantificabile,1
lagonegro,Non quantificabile,1
lainate,Superiore ai limiti,1
lanuvio,Entro i limiti,1
larciano,Superiore ai limiti,1
larino,Non quantificabile,1
lasnigo,Non quantificabile,1
laterina pergine valdarno,Non quantificabile,1
latina,Entro i limiti,2
latina,Non quantificabile,3
latina,Superiore ai limiti,2
lauria,Non quantificabile,3
lauriano,Superiore ai limiti,1
lavello,Entro i limiti,2
laveno mombello,Superiore ai limiti,1
lavis,Non quantificabile,1
lecco,Entro i limiti,2
legnago,Entro i limiti,5
legnano,Superiore ai limiti,1
lenna,Non quantificabile,1
lentate sul seveso,Superiore ai limiti,1
lesina,Entro i limiti,2
lesina,Non quantificabile,1
lesina,Superiore ai limiti,1
lesmo,Superiore ai limiti,1
levico terme,Non quantificabile,1
lezzeno,Non quantificabile,1
licata,Superiore ai limiti,1
licodia eubea,Entro i limiti,1
lignano sabbiadoro,Non quantificabile,1
limatola(bn),Superiore ai limiti,1
limone sul garda,Entro i limiti,1
livo,Non quantificabile,1
locate triulzi,Superiore ai limiti,1
lodi vecchio,Superiore ai limiti,1
lodrino,Entro i limiti,1
lograto,Superiore ai limiti,1
lomagna,Entro i limiti,1
lomagna/usmate,Superiore ai limiti,1
lomazzo,Superiore ai limiti,1
lombardore,Entro i limiti,1
longare,Superiore ai limiti,1
longarone,Non quantificabile,1
lonigo,Entro i limiti,1
lonigo,Superiore ai limiti,1
loreggia,Entro i limiti,2
loria,Entro i limiti,2
lovero,Non quantificabile,1
lozzo atestino,Superiore ai limiti,2
lu,Superiore ai limiti,1
lucera,Entro i limiti,2
lucera,Superiore ai limiti,1
lugo,Superiore ai limiti,1
luino,Entro i limiti,1
luino,Non quantificabile,1
luogosano(av),Non quantificabile,1
lurano,Entro i limiti,1
macerata,Non quantificabile,1
maggiora,Entro i limiti,1
magliano de' marsi,Non quantificabile,1
maiori(sa),Non quantificabile,2
malalbergo,Superiore ai limiti,1
malesco,Superiore ai limiti,1
malnate,Superiore ai limiti,1
manciano,Superiore ai limiti,1
mandello,Non quantificabile,1
manerba del garda,Superiore ai limiti,1
manfredonia,Superiore ai limiti,3
maniace,Non quantificabile,1
maniace,Superiore ai limiti,1
mantova,Entro i limiti,1
marano di valpolicella,Non quantificabile,1
marano lagunare,Entro i limiti,1
marano lagunare,Non quantificabile,7
marano sul panaro,Non quantificabile,1
maranzana,Superiore ai limiti,1
maratea,Non quantificabile,1
marcaria,Superiore ai limiti,1
marciano della chiana,Superiore ai limiti,1
mareno di piave,Entro i limiti,1
mareno di piave,Superiore ai limiti,1
mariano comense,Superiore ai limiti,1
marineo,Non quantificabile,1
marmirolo,Entro i limiti,1
marmirolo,Non quantificabile,1
marradi,Entro i limiti,1
marsciano,Superiore ai limiti,3
marsico nuovo,Non quantificabile,1
marsicovetere,Non quantificabile,1
marta,Non quantificabile,1
martellago,Entro i limiti,1
massa e cozzile,Superiore ai limiti,1
massanzago,Entro i limiti,1
massarosa,Non quantificabile,1
masserano,Non quantificabile,1
matera,Entro i limiti,1
matera,Non quantificabile,1
mazara del vallo,Entro i limiti,1
medicina,Superiore ai limiti,2
megliadino san vitale,Entro i limiti,1
melazzo,Non quantificabile,1
melfi,Non quantificabile,2
melizzano(bn),Non quantificabile,1
menaggio,Non quantificabile,1
meolo,Entro i limiti,1
merana,Superiore ai limiti,1
mercatello sul metauro,Non quantificabile,1
mercato saraceno,Superiore ai limiti,1
merlara,Entro i limiti,1
merone,Entro i limiti,1
mesola,Superiore ai limiti,1
mezzana bigli,Superiore ai limiti,1
mezzolombardo,Entro i limiti,2
milano,Entro i limiti,1
milano,Superiore ai limiti,1
minervino murge,Superiore ai limiti,1
minturno,Non quantificabile,1
mira,Entro i limiti,4
mira,Superiore ai limiti,1
mirano,Entro i limiti,2
modena,Entro i limiti,1
mogliano veneto,Entro i limiti,1
mogliano veneto,Superiore ai limiti,1
mombaldone,Superiore ai limiti,1
monastero bormida,Superiore ai limiti,2
moncalieri,Superiore ai limiti,2
mondolfo,Non quantificabile,1
mondragone(ce),Superiore ai limiti,2
